Tipo de residuo;Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2019;1.903.917
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2018;1.996.857
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2017;2.159.053
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2016;2.017.961
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2015;1.929.269
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2014;1.977.666
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2013;1.897.284
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2012;1.947.739
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2011;2.062.422
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2010;2.108.673
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2021;729.137
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2020;679.146
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2019;658.403
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2018;639.712
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2017;640.121
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2016;613.940
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2015;589.409
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2014;596.188
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2013;606.321
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2012;579.368
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2011;577.721
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;14 Región de Murcia;2010;711.540
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2021;164.038
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2020;152.871
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2019;156.524
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2018;153.346
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2017;156.189
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2016;153.238
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2015;158.723
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2014;161.882
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2013;170.106
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2012;174.865
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2011;180.874
